Price,Close,High,Low,Open,Volume
2015-01-02,24.320430755615234,24.789799848077692,23.87997951870223,24.7786766820896,212818400
2015-01-05,23.635286331176758,24.16916607950061,23.448429352699723,24.089084032394183,257142000
2015-01-06,23.637516021728516,23.897781878192376,23.274921764638442,23.699801693652454,263188400
2015-01-07,23.968955993652344,24.069057683208676,23.735383121812127,23.846607975610976,160423600
2015-01-08,24.889902114868164,24.94773952442875,24.18028687717126,24.298186668971617,237458000
2015-01-09,24.916597366333008,25.192434585486712,24.51618713114462,25.063413321130795,214798000
2015-01-12,24.302637100219727,25.054516703419324,24.202535383704063,25.04784348193922,198603200
2015-01-13,24.518413543701172,25.092334348788434,24.227004892575085,24.787577557600926,268367600
2015-01-14,24.424989700317383,24.57847891441799,24.135804269834306,24.255927370320013,195826400
2015-01-15,23.762086868286133,24.482823723855358,23.72649578385613,24.46947727933876,240056000
2015-01-16,23.577451705932617,23.931147738638376,23.40171617608169,23.80879968078104,314053200
2015-01-20,24.184736251831055,24.240348687400143,23.690897552432435,23.988979392447472,199599600
2015-01-21,24.369373321533203,24.70527125695511,24.08463618635833,24.235902099949918,194303600
2015-01-22,25.003353118896484,25.018924534057916,24.407187700040755,24.52731077292478,215185600
2015-01-23,25.132373809814453,25.30365937266498,24.809820650066545,24.981107910074,185859200
2015-01-26,25.15906524658203,25.439352394096968,25.09233134289731,25.30143294436429,222460000
2015-01-27,24.278165817260742,25.021148872066853,24.25369620874828,25.007800732869285,382274800
2015-01-28,25.650680541992188,26.27576550361316,25.650680541992188,26.166763902406935,585908400
2015-01-29,26.449281692504883,26.513792338488326,25.706298474244946,25.87536079829958,337745600
2015-01-30,26.062217712402344,26.693974289279854,25.993257124754823,26.338054971520894,334982000
2015-02-02,26.38921546936035,26.50933854820576,25.82196957705137,26.260195893258587,250956400
2015-02-03,26.393661499023438,26.491538228734484,26.162313570071944,26.360293699213326,207662800
2015-02-04,26.596092224121094,26.807420510137334,26.31803002974995,26.360296026384585,280598800
2015-02-05,26.785919189453125,26.850684413148844,26.631822563975213,26.803784106725747,168984800
2015-02-06,26.560365676879883,26.855158197673102,26.45316762211177,26.803792072629882,174826400
2015-02-09,26.736785888671875,26.763584115561414,26.448693022626355,26.475492953370605,155559200
2015-02-10,27.250446319580078,27.279480012235624,26.835058348126257,26.83729039844191,248034000
2015-02-11,27.88916015625,27.898093467941823,27.35764088949896,27.41793861360003,294247200
2015-02-12,28.242015838623047,28.46981100726813,28.043254356409005,28.152684433347616,297898000
2015-02-13,28.380481719970703,28.425146574014246,28.061123072379967,28.425146574014246,217088800
2015-02-17,28.547975540161133,28.782470267606207,28.344746549194756,28.47204324881655,252609600
2015-02-18,28.746746063232422,28.760145181978167,28.463118888174698,28.503317948267313,179566800
2015-02-19,28.686437606811523,28.815968060168334,28.659639377741044,28.693137164079143,149449600
2015-02-20,28.92093276977539,28.92093276977539,28.597108335362325,28.724403333073504,195793600
2015-02-23,29.702579498291016,29.702579498291016,28.956665913703066,29.037064009555703,283896400
2015-02-24,29.5172176361084,29.836577975147815,29.293889966856423,29.68918089559116,276912400
2015-02-25,28.76236343383789,29.389916924952246,28.619433889602213,29.38098191160113,298846800
2015-02-26,29.126392364501953,29.22688912773877,28.275514543942222,28.762367196280813,365150000
2015-02-27,28.688678741455078,29.15990033954733,28.639546373296806,29.032601910852616,248059200
2015-03-02,28.829368591308594,29.095129068348655,28.652941228409233,28.865101836964875,192386800
2015-03-03,28.88966941833496,28.925402665724054,28.60604230471284,28.80033970757226,151265200
2015-03-04,28.706539154052734,28.934334347098382,28.65741019840567,28.831605520231744,126665200
2015-03-05,28.230852127075195,28.75343806710463,28.085688798004263,28.715472771397522,226068400
2015-03-06,28.27328109741211,28.89189795896218,28.197350511715953,28.6752698585805,291368400
